Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,eFG,REB,AST,STL,BLK,ast_tov
Isaiah Hill,32.0,35.9,12.0,4.3,11.2,38.5,1.6,5.1,30.7,1.8,2.2,81.4,45.535714285714285,3.4,6.0,1.3,0.1,2.608695652173913
AJ Braun,32.0,25.7,12.0,5.1,7.4,68.9,0.0,0.0,0.0,1.7,2.9,59.8,68.91891891891892,6.2,0.9,0.3,1.1,0.5294117647058824
Tony Felder,30.0,29.3,12.0,4.0,11.4,35.0,2.2,7.0,31.1,1.8,2.5,73.0,44.73684210526315,3.0,2.8,1.3,0.1,1.4
Tana Kopa,29.0,32.3,12.0,4.2,11.3,37.6,2.1,6.4,33.0,1.4,1.7,83.3,46.46017699115043,3.9,1.1,0.8,0.6,0.6470588235294118
Jordan Riley,33.0,29.0,11.9,4.4,10.2,43.2,0.6,2.4,25.6,2.5,3.5,70.7,46.07843137254902,6.0,1.1,1.1,0.8,0.6470588235294118
Tytan Anderson,33.0,28.4,11.9,3.8,7.7,50.2,0.2,0.8,25.0,4.0,5.8,69.6,50.649350649350644,7.1,2.0,1.3,0.6,1.4285714285714286
Caleb Kenney,33.0,27.1,11.9,5.3,9.2,57.6,0.0,0.0,0.0,1.4,2.4,58.2,57.608695652173914,6.5,1.4,0.8,2.2,0.7777777777777777
Sean Moore,32.0,30.1,11.9,4.3,10.8,40.3,1.5,4.8,31.8,1.7,2.3,73.3,46.75925925925925,7.6,1.6,1.0,0.5,1.0
Raheem Anthony,32.0,29.6,11.9,3.9,8.0,49.0,1.1,2.5,44.3,3.0,4.1,72.0,55.625,4.8,3.3,1.4,0.1,1.3199999999999998
Rob Martin,31.0,28.5,11.9,4.5,10.5,42.3,1.3,3.3,39.2,1.7,2.0,88.5,49.04761904761905,2.2,3.5,0.8,0.0,1.5217391304347827
Brian Myles,30.0,29.5,11.9,4.8,8.5,55.9,0.2,0.7,35.0,2.2,3.0,71.4,57.647058823529406,9.3,1.2,1.4,1.1,0.7058823529411765
Elias Cato,28.0,28.8,11.9,4.3,9.3,46.4,0.8,2.0,41.8,2.5,3.4,71.9,50.53763440860215,6.1,1.0,0.9,0.9,0.5
Noah Freidel,36.0,30.1,11.9,3.8,8.8,43.2,2.3,5.9,38.4,2.1,2.4,85.1,56.249999999999986,5.3,1.7,0.9,0.9,1.8888888888888888
Ben Burnham,35.0,22.2,11.9,4.5,9.7,46.4,1.3,3.6,36.8,1.6,2.3,69.5,53.09278350515465,4.5,0.9,0.9,0.5,0.9
Lassina Traore,35.0,30.3,11.9,4.4,8.4,52.4,0.0,0.1,25.0,3.1,4.4,69.7,52.38095238095239,10.3,1.2,0.8,0.5,0.631578947368421
Rob Perry,32.0,30.3,11.9,4.5,11.3,39.9,1.3,4.6,29.5,1.6,2.1,73.5,45.57522123893805,5.1,2.0,1.0,0.3,1.5384615384615383
Madison Durr,32.0,33.7,11.9,3.9,9.0,42.9,0.5,1.9,27.4,3.6,4.8,75.8,46.111111111111114,4.2,3.3,0.9,0.3,1.4999999999999998
Grant Nelson,37.0,25.6,11.9,3.9,8.0,48.8,0.8,3.0,27.3,3.3,4.1,81.3,53.75,5.9,1.5,0.6,1.6,1.0714285714285714
Zee Hamoda,34.0,29.1,11.9,4.0,10.2,39.6,1.9,5.6,34.0,1.9,2.4,78.3,48.529411764705884,4.0,1.7,1.2,0.3,0.6538461538461539
Jan Zidek,33.0,21.5,11.9,3.9,8.0,48.3,1.4,4.1,34.6,2.7,3.3,82.4,57.49999999999999,3.4,1.2,0.3,0.1,1.0909090909090908
Hosana Kitenge,33.0,26.3,11.9,4.7,8.4,56.2,0.0,0.1,33.3,2.5,3.9,63.3,55.952380952380956,6.5,1.9,1.2,0.9,1.1874999999999998
Moses Wood,32.0,32.6,11.9,3.8,9.1,42.1,2.5,6.3,39.6,1.7,1.9,87.1,55.494505494505496,4.5,0.8,0.6,0.6,0.888888888888889
Darweshi HunterM-,32.0,30.1,11.9,3.9,9.9,39.9,2.0,5.6,35.6,2.0,2.4,83.1,49.494949494949495,4.3,1.6,0.8,0.1,1.6
Drake Allen,30.0,29.0,11.9,4.5,10.1,44.4,0.5,2.3,23.2,2.4,3.8,63.2,47.02970297029703,3.4,4.3,1.5,0.4,2.15
Samuel Tabe,29.0,22.5,11.9,4.5,8.4,53.1,0.0,0.1,0.0,2.9,3.8,76.4,53.57142857142857,3.9,1.1,0.7,0.0,0.6111111111111112
